NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=947.193s, table=0, n_packets=29175, n_bytes=1867200, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9001 actions=drop
 cookie=0x0, duration=947.193s, table=0, n_packets=29403, n_bytes=1881792, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9002 actions=output:2
 cookie=0x0, duration=947.193s, table=0, n_packets=29265, n_bytes=1872960, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9003 actions=drop
 cookie=0x0, duration=947.193s, table=0, n_packets=29104, n_bytes=1862656, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9004 actions=output:2
 cookie=0x0, duration=947.193s, table=0, n_packets=29059, n_bytes=1859776, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9005 actions=drop
 cookie=0x0, duration=947.193s, table=0, n_packets=28959, n_bytes=1853376, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9006 actions=output:2
 cookie=0x0, duration=947.193s, table=0, n_packets=28903, n_bytes=1849792, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9007 actions=drop
 cookie=0x0, duration=947.193s, table=0, n_packets=29135, n_bytes=1864640, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9008 actions=output:2
 cookie=0x0, duration=947.193s, table=0, n_packets=28726, n_bytes=1838464, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9009 actions=drop
 cookie=0x0, duration=947.193s, table=0, n_packets=29164, n_bytes=1866496, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9010 actions=output:2
 cookie=0x0, duration=947.192s, table=0, n_packets=29355, n_bytes=1878720, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9011 actions=drop
 cookie=0x0, duration=947.192s, table=0, n_packets=29175, n_bytes=1867200, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9012 actions=output:2
 cookie=0x0, duration=947.192s, table=0, n_packets=29005, n_bytes=1856320, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9013 actions=drop
 cookie=0x0, duration=947.192s, table=0, n_packets=28941, n_bytes=1852224, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9014 actions=output:2
 cookie=0x0, duration=947.192s, table=0, n_packets=29266, n_bytes=1873024, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9015 actions=drop
 cookie=0x0, duration=947.192s, table=0, n_packets=28924, n_bytes=1851136, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9016 actions=output:2
 cookie=0x0, duration=947.192s, table=0, n_packets=28908, n_bytes=1850112, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9017 actions=drop
 cookie=0x0, duration=947.192s, table=0, n_packets=28901, n_bytes=1849664, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9018 actions=output:2
 cookie=0x0, duration=947.192s, table=0, n_packets=0, n_bytes=0, idle_age=947, priority=100,udp,tp_src=20006,tp_dst=9019 actions=drop
 cookie=0x0, duration=947.192s, table=0, n_packets=29089, n_bytes=1861696, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9000 actions=drop
 cookie=0x0, duration=947.192s, table=0, n_packets=28780, n_bytes=1841920, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9001 actions=output:2
 cookie=0x0, duration=947.192s, table=0, n_packets=28938, n_bytes=1852032, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9002 actions=drop
 cookie=0x0, duration=947.192s, table=0, n_packets=29039, n_bytes=1858496, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9003 actions=output:2
 cookie=0x0, duration=947.192s, table=0, n_packets=28694, n_bytes=1836416, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9004 actions=drop
 cookie=0x0, duration=947.192s, table=0, n_packets=28842, n_bytes=1845888, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9005 actions=output:2
 cookie=0x0, duration=947.192s, table=0, n_packets=29123, n_bytes=1863872, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9006 actions=drop
 cookie=0x0, duration=947.192s, table=0, n_packets=28449, n_bytes=1820736, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9007 actions=output:2
 cookie=0x0, duration=947.192s, table=0, n_packets=28827, n_bytes=1844928, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9008 actions=drop
 cookie=0x0, duration=947.192s, table=0, n_packets=29033, n_bytes=1858112, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9009 actions=output:2
 cookie=0x0, duration=947.192s, table=0, n_packets=29068, n_bytes=1860352, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9010 actions=drop
 cookie=0x0, duration=947.192s, table=0, n_packets=28546, n_bytes=1826944, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9011 actions=output:2
 cookie=0x0, duration=947.192s, table=0, n_packets=28860, n_bytes=1847040, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9012 actions=drop
 cookie=0x0, duration=947.192s, table=0, n_packets=29369, n_bytes=1879616, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9013 actions=output:2
 cookie=0x0, duration=947.191s, table=0, n_packets=29116, n_bytes=1863424, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9014 actions=drop
 cookie=0x0, duration=947.191s, table=0, n_packets=28910, n_bytes=1850240, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9015 actions=output:2
 cookie=0x0, duration=947.191s, table=0, n_packets=28829, n_bytes=1845056, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9016 actions=drop
 cookie=0x0, duration=947.191s, table=0, n_packets=28953, n_bytes=1852992, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9017 actions=output:2
 cookie=0x0, duration=947.191s, table=0, n_packets=29077, n_bytes=1860928, idle_age=0, priority=100,udp,tp_src=20007,tp_dst=9018 actions=drop
 cookie=0x0, duration=947.191s, table=0, n_packets=0, n_bytes=0, idle_age=947, priority=100,udp,tp_src=20007,tp_dst=9019 actions=output:2
 cookie=0x0, duration=947.191s, table=0, n_packets=29264, n_bytes=1872896, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9000 actions=output:2
 cookie=0x0, duration=947.191s, table=0, n_packets=29005, n_bytes=1856320, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9001 actions=drop
 cookie=0x0, duration=947.191s, table=0, n_packets=29052, n_bytes=1859328, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9002 actions=output:2
 cookie=0x0, duration=947.191s, table=0, n_packets=28688, n_bytes=1836032, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9003 actions=drop
 cookie=0x0, duration=947.191s, table=0, n_packets=28902, n_bytes=1849728, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9004 actions=output:2
 cookie=0x0, duration=947.191s, table=0, n_packets=28743, n_bytes=1839552, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9005 actions=drop
 cookie=0x0, duration=947.191s, table=0, n_packets=29175, n_bytes=1867200, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9006 actions=output:2
 cookie=0x0, duration=947.191s, table=0, n_packets=29280, n_bytes=1873920, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9007 actions=drop
 cookie=0x0, duration=947.191s, table=0, n_packets=28801, n_bytes=1843264, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9008 actions=output:2
 cookie=0x0, duration=947.191s, table=0, n_packets=28957, n_bytes=1853248, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9009 actions=drop
 cookie=0x0, duration=947.191s, table=0, n_packets=29246, n_bytes=1871744, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9010 actions=output:2
 cookie=0x0, duration=947.191s, table=0, n_packets=29011, n_bytes=1856704, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9011 actions=drop
 cookie=0x0, duration=947.191s, table=0, n_packets=28930, n_bytes=1851520, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9012 actions=output:2
 cookie=0x0, duration=947.190s, table=0, n_packets=29246, n_bytes=1871744, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9013 actions=drop
 cookie=0x0, duration=947.190s, table=0, n_packets=29117, n_bytes=1863488, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9014 actions=output:2
 cookie=0x0, duration=947.190s, table=0, n_packets=29377, n_bytes=1880128, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9015 actions=drop
 cookie=0x0, duration=947.190s, table=0, n_packets=29098, n_bytes=1862272, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9016 actions=output:2
 cookie=0x0, duration=947.190s, table=0, n_packets=28978, n_bytes=1854592, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9017 actions=drop
 cookie=0x0, duration=947.190s, table=0, n_packets=29197, n_bytes=1868608, idle_age=0, priority=100,udp,tp_src=20008,tp_dst=9018 actions=output:2
